,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.813392162322998,15.945225093629697,-0.9879847168922424,1.0316826105117798,0.6212558746337891
1,1,0.635610818862915,15.926424137234024,-0.9907145500183105,1.0267959833145142,0.6165624856948853
2,2,0.6189556121826172,15.964257230663755,-0.9906405806541443,1.0321907997131348,0.6210962533950806
3,3,0.49778318405151367,15.935073241663046,-0.988576352596283,1.0277702808380127,0.6167281866073608
4,4,0.4904780387878418,15.930186326989794,-0.9899420142173767,1.029911994934082,0.6196130514144897
5,5,0.5071163177490234,15.880626260114086,-0.9869256019592285,1.0334751605987549,0.6221616864204407
6,6,0.5216457843780518,15.934969251587791,-0.989881157875061,1.0294090509414673,0.6180874109268188
7,7,0.5175034999847412,15.903716287823473,-0.9880006313323975,1.0316294431686401,0.6210601925849915
8,8,0.5031378269195557,15.972086650283167,-0.9902698993682861,1.0291043519973755,0.6193161010742188
9,9,0.5364477634429932,15.923459698304159,-0.988502562046051,1.0294133424758911,0.6196296215057373
