,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.4834582805633545,20.3922976409204,7.881098747253418,1.5945990085601807,0.7332125306129456
1,1,0.4270741939544678,20.4283630952529,7.889780044555664,1.5936813354492188,0.7335523366928101
2,2,0.4219088554382324,20.291601427464713,7.883294105529785,1.568427324295044,0.7271711826324463
3,3,0.420849084854126,20.490230899040203,7.879712104797363,1.5821964740753174,0.7299782037734985
4,4,0.43755316734313965,20.502930704305154,7.88578987121582,1.591232419013977,0.7312933206558228
5,5,0.43746352195739746,20.34848963697194,7.894389629364014,1.5798557996749878,0.7308120727539062
6,6,0.4505472183227539,20.36225978634124,7.887983322143555,1.583701729774475,0.730375349521637
7,7,0.4639096260070801,20.284938545264264,7.8824334144592285,1.5801613330841064,0.7307997345924377
8,8,0.4778411388397217,20.325551239572718,7.885617256164551,1.5743212699890137,0.729185163974762
9,9,0.45572543144226074,20.464817280081938,7.881052017211914,1.577085018157959,0.7263797521591187
