,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.7860641479492188,7.65864344479521,-0.09913308918476105,1.0353931188583374,0.6158713698387146
1,1,0.43523621559143066,7.633362651803893,-0.0975804552435875,1.0352344512939453,0.6130468845367432
2,2,0.42906928062438965,7.649545384358719,-0.09955824911594391,1.0325393676757812,0.6135137677192688
3,3,0.46291494369506836,7.641380856271448,-0.10101732611656189,1.0340709686279297,0.6109289526939392
4,4,0.40029191970825195,7.631145643538712,-0.09816644340753555,1.0361288785934448,0.6137264370918274
5,5,0.46075916290283203,7.619684405138055,-0.09517694264650345,1.033606767654419,0.6140044927597046
6,6,0.41463685035705566,7.6328184555644265,-0.09722883254289627,1.033341407775879,0.6137561202049255
7,7,0.43585872650146484,7.6368873101961015,-0.09697481989860535,1.037033200263977,0.6164003014564514
8,8,0.4589824676513672,7.658673194396825,-0.10007619112730026,1.032669186592102,0.615284264087677
9,9,0.5103838443756104,7.65934601758,-0.09993564337491989,1.0358868837356567,0.6144142746925354
