,sample_№,inference_time,2-wasserstein_distance,mean,var,cov
0,0,0.34294581413269043,4.512424708006131,-1.0085386037826538,1.013533353805542,0.5992096066474915
1,1,0.2812812328338623,4.551230849994848,-1.007297396659851,1.034942865371704,0.6146320104598999
2,2,0.26695799827575684,4.591427829982469,-1.0070650577545166,1.0438038110733032,0.6142003536224365
3,3,0.28128957748413086,4.520414191113142,-1.0020760297775269,1.028541922569275,0.614004373550415
4,4,0.2978367805480957,4.549676548193552,-1.004188895225525,1.033144235610962,0.612118124961853
5,5,0.29894399642944336,4.5114998584379995,-1.0050373077392578,1.0309122800827026,0.6174795031547546
6,6,0.2859079837799072,4.563939034179527,-1.0125575065612793,1.0370681285858154,0.6161443591117859
7,7,0.28126955032348633,4.58545854894503,-1.017926573753357,1.0353367328643799,0.6151762008666992
8,8,0.30724048614501953,4.641026356564054,-1.0157725811004639,1.033997893333435,0.6116563677787781
9,9,0.281327486038208,4.526036781162727,-1.0083906650543213,1.038514256477356,0.6137552261352539
